merged_person_id,first_abs,last_abs,first_ts,frames,age_mode,gender_mode
0,2025-08-16 11:41:00.066,2025-08-16 11:41:10.866,00:00:00.067,130,24,Female
1,2025-08-16 11:41:00.066,2025-08-16 11:41:46.865,00:00:00.067,164,33,Female
2,2025-08-16 11:41:00.066,2025-08-16 11:41:04.399,00:00:00.067,66,24,Male
3,2025-08-16 11:41:00.066,2025-08-16 11:41:05.199,00:00:00.067,78,30,Male
4,2025-08-16 11:41:00.066,2025-08-16 11:42:21.863,00:00:00.067,158,26,Female
5,2025-08-16 11:41:00.066,2025-08-16 11:41:07.066,00:00:00.067,53,0,
6,2025-08-16 11:41:00.066,2025-08-16 11:41:01.066,00:00:00.067,15,0,
7,2025-08-16 11:41:00.933,2025-08-16 11:41:19.866,00:00:00.1000,118,29,Female
8,2025-08-16 11:41:00.933,2025-08-16 20:16:09.235,00:00:00.933,304035,0,Male
9,2025-08-16 11:41:04.266,2025-08-16 11:41:06.266,00:00:04.1000,19,0,
10,2025-08-16 11:41:07.199,2025-08-16 11:41:08.866,00:00:07.1000,26,37,Male
11,2025-08-16 11:41:13.866,2025-08-16 11:41:36.865,00:00:13.866,21,27,Female
12,2025-08-16 11:41:13.866,2025-08-16 11:44:13.793,00:00:13.866,167,33,Male
13,2025-08-16 11:41:23.865,2025-08-16 19:21:34.211,00:00:23.866,184,27,Female
14,2025-08-16 11:41:48.865,2025-08-16 11:42:38.530,00:00:48.865,22,0,
15,2025-08-16 11:42:07.864,2025-08-16 11:42:07.864,00:01:07.864,1,27,Female
16,2025-08-16 11:42:22.530,2025-08-16 11:47:02.654,00:01:22.531,38,28,Female
17,2025-08-16 11:42:49.196,2025-08-16 12:00:01.761,00:01:49.196,323,25,Female
18,2025-08-16 11:43:04.795,2025-08-16 11:44:05.993,00:02:04.796,59,29,Female
19,2025-08-16 11:43:57.060,2025-08-16 11:43:57.060,00:02:57.061,1,23,Female
20,2025-08-16 11:44:17.393,2025-08-16 11:46:44.055,00:03:17.393,175,29,Male
21,2025-08-16 11:44:19.793,2025-08-16 11:45:30.857,00:03:19.793,124,24,Female
22,2025-08-16 11:44:28.193,2025-08-16 11:44:57.792,00:03:28.193,21,23,Female
23,2025-08-16 11:44:55.658,2025-08-16 11:45:58.456,00:03:55.659,84,25,Female
24,2025-08-16 11:45:17.058,2025-08-16 11:49:06.250,00:04:17.058,193,25,Female
